year,event,category
-8000,Neolithic settlements in the Indian subcontinent,Archaeology
-1500,Early Vedic period begins (approx.),Chronology
-600,Buddhist and Jain traditions emerge,Religion
320,Gupta Empire and classical sciences,Polity
499,Aryabhatiya composed,Science
628,Brahmasphutasiddhanta,Science
700-1200,Universities like Nalanda and Vikramashila,Education
1206,Delhi Sultanate begins,Polity
1526,Mughal Empire begins,Polity
1757,Battle of Plassey; colonial foothold,Colonial
1857,Rebellion of 1857,Colonial
1947,Independence of India,Modern
1950,Republic of India,Modern
1969,ISRO established,Science
2014,Mars Orbiter Mission success,Science
2023,Chandrayaan-3 lands on Moon,Science
